key,pl,de,en,fr (French),sv (Swedish),it (Italian),es (Spanish),da (Danish)
,,,,,,,,
%@ ago,%@ temu,vor %@,%@ ago,,,,,
%@%lld New Videos,%1$@%2$lld Nowe filmy,%1$@%2$lld Neue Videos,%1$@%2$lld New Videos,,,,,
%lld New Videos,%lld Nowe filmy,%lld Neue Videos,%lld New Videos,,,,,
%lld min,%lld min,%lld min,%lld min,,,,,
Could not subscribe: %@,Nie można zasubskrybować: %@,Abonnieren fehlgeschlagen: %@,Could not subscribe: %@,,,,,
Couldn't convert to URL: %@,Nie można przekonwertować na URL: %@,URL konnte nicht erstellt werden: %@,Couldn't convert to URL: %@,,,,,
HTTP request failed: %@,Żądanie HTTP nie powiodło się: %@,HTTP request fehlgeschlagen: %@,HTTP request failed: %@,,,,,
InboxHasVideosTip,Nowe filmy,Neue Videos,New Videos,,,,,
InboxHasVideosTipMessage,"Kliknij tutaj, aby zobaczyć nowe filmy",Tippe hier um neue Videos anzusehen,Tap here to view new videos,,,,,
InboxSwipeTip,Przesuń w lewo lub prawo,Wische Links oder Rechts,Swipe Left or Right,,,,,
InboxSwipeTipMessage,"Przesunięcie w lewo wyczyści film, a przesunięcie w prawo da ci możliwość wstawienia go na szczyt lub na dół kolejki.

Kliknięcie filmu przeniesie go na szczyt kolejki i rozpocznie odtwarzanie.","Nach links wischen löscht das Video, nach rechts wischen gibt dir die Möglichkeit, es oben oder unten in die Warteschlange einzufügen.

Tippen auf ein Video bewegt es an die Spitze der Warteschlange und startet die Wiedergabe.","Swiping left will clear the video, while swiping right will give you the option to insert it at the top or bottom of the Queue.

Tapping a video will move it to the top of the Queue and start playback.",,,,,
Today,Dzisiaj,Heute,Today,,,,,
"Today, %@","Dzisiaj, %@","Heute, %@","Today, %@",,,,,
Unwatched,Unwatched,Unwatched,Unwatched,,,,,
Video,Film,Video,Video,,,,,
WatchInUnwatched,Oglądaj w Unwatched,In Unwatched ansehen,Watch in Unwatched,,,,,
WatchInUnwatchedDescription,Odtwarza film i otwiera Unwatched,Öffnet Unwatched und started das Video,Plays the video in and opens Unwatched,,,,,
"Yesterday, %@","Wczoraj, %@","Gestern, %@","Yesterday, %@",,,,,
^[%lld video](inflect: true) available,^[%lld Film](inflect: true) dostępny,^[%lld Video](inflect: true) Verfügbar,^[%lld Video](inflect: true) Available,,,,,
addAsPlaylist,Subskrybuj playlistę,Playlist abonnieren,Subscribe to Playlist,,,,,
addAsVideosToInbox,Dodaj filmy z playlisty do skrzynki,Playlist Videos zur Inbox hinzufügen,Add Playlist Videos to Inbox,,,,,
